Depth,模块_名称,模块_编号,应用_名称,应用_编号,用例_名称,用例_编号
.....,Top225应用,Top225,BOSS直聘,BOSS,BOSS直聘_13.210_L2_001,BOSS_PLR_1
.....,Top225应用,Top225,BOSS直聘,BOSS,BOSS直聘_13.210_L2_002,BOSS_PLR_2
.....,Top225应用,Top225,BOSS直聘,BOSS,BOSS直聘_13.210_L2_026,BOSS_PLR_26
.....,Top225应用,Top225,CAD快速看图,CADkskt,CAD快速看图_5.2.4.21_L2_001,CADkskt_PLR_1
.....,Top225应用,Top225,CAD快速看图,CADkskt,CAD快速看图_5.2.4.21_L2_002,CADkskt_PLR_2
.....,Top225应用,Top225,CAD快速看图,CADkskt,CAD快速看图_5.2.4.21_L2_012,CADkskt_PLR_12
.....,Top225应用,Top225,CAD看图王,CADkantuwang,CAD看图王_5.6.4_L2_001,CADkantuwang_PLR_1
.....,Top225应用,Top225,CAD看图王,CADkantuwang,CAD看图王_5.6.4_L2_002,CADkantuwang_PLR_2
.....,Top225应用,Top225,e充电,echarge,e充电_3.8.110_L2_006,echarge_PLR_006
.....,Top225应用,Top225,e充电,echarge,e充电_3.8.110_L2_007,echarge_PLR_007
.....,Top225应用,Top225,KEEP,keep,KEEP_1.3.15_L2_001,keep_PLR_01
.....,Top225应用,Top225,KEEP,keep,KEEP_1.3.15_L2_002,keep_PLR_02
....,Top225应用,Top225,KEEP,keep,KEEP_1.3.15_L2_011,keep_PLR_11
.....,Top225应用,Top225,QQ,QQ,QQ_9.1.90.4530_L2_001,QQ_PLR_001
.....,Top225应用,Top225,QQ,QQ,QQ_9.1.90.4530_L2_002,QQ_PLR_002
.....,Top225应用,Top225,QQ浏览器,QQBrowser,QQ浏览器_3.3.5.5015_L2_011,QQBrowser_PLR_011
.....,Top225应用,Top225,QQ浏览器,QQBrowser,QQ浏览器_3.3.5.5015_L2_012,QQBrowser_PLR_012
.....,Top225应用,Top225,QQ邮箱,QQEMAIL,QQ邮箱_0.2.5_L2_001,QQEMAIL_PLR_1
.....,Top225应用,Top225,QQ邮箱,QQEMAIL,QQ邮箱_0.2.5_L2_002,QQEMAIL_PLR_2
